0,0.07964543576,1.849722695
0.5,0.07971350682,1.850858276
1,0.07985093858,1.853140201
1.5,0.08006034742,1.856576513
2,0.08034554458,1.861154182
2.5,0.08071102015,1.86687008
3,0.08116300811,1.873716384
3.5,0.08170882408,1.881706155
4,0.08235600991,1.890843874
4.5,0.0831120108,1.901130538
5,0.08398383405,1.912571714
5.5,0.08497957701,1.92517406
6,0.08610642721,1.938926745
6.5,0.08737088466,1.953820329
7,0.08877857517,1.969865511
7.5,0.09033395364,1.987066723
8,0.09204033218,2.005429834
8.5,0.093899725,2.024969624
9,0.09591287988,2.045676506
9.5,0.09807931058,2.067545758
10,0.1003972713,2.090592705
10.5,0.1028637909,2.114816035
11,0.1054747072,2.140244046
11.5,0.1082246943,2.166868468
12,0.1111074725,2.194692794
12.5,0.1141159643,2.223716318
13,0.1172424482,2.253964352
13.5,0.1204787394,2.28543246
14,0.1238163379,2.318141932
14.5,0.12724651,2.352093446
15,0.1307605663,2.387309493
15.5,0.1343500558,2.423801757
16,0.1380069205,2.461577796
16.5,0.1417236294,2.500663038
17,0.1454931708,2.541063475
17.5,0.1493090402,2.582791924
18,0.1531652541,2.625863973
18.5,0.1570564071,2.670307391
19,0.1609778598,2.716133586
19.5,0.1649258985,2.763354493
20,0.168896695,2.811987189
20.5,0.1728874644,2.862056364
21,0.1768959038,2.913587717
21.5,0.180920175,2.966595856
22,0.1849592699,3.021099568
22.5,0.1890118082,3.077115481
23,0.1930770389,3.134677887
23.5,0.1971542332,3.193799446
24,0.2012432732,3.25450544
24.5,0.2053439935,3.316816539
25,0.2094559924,3.380762078
25.5,0.2135786923,3.446367419
26,0.2177115776,3.513662726
26.5,0.2218542697,3.582654356
27,0.2260060518,3.653384167
27.5,0.2301655679,3.725849604
28,0.2343314245,3.800087558
28.5,0.2385019009,3.876114859
29,0.2426749263,3.953962998
29.5,0.2468480712,4.033663361
30,0.2510185455,4.115207773
30.5,0.255184569,4.19863734
31,0.2593437386,4.28398677
31.5,0.2634917885,4.371267739
32,0.2676243348,4.460492986
32.5,0.2717368466,4.551670914
33,0.2758246356,4.644837773
33.5,0.279882851,4.740017065
34,0.28390629,4.837220514
34.5,0.2878900107,4.936452607
35,0.2918289824,5.037732378
35.5,0.2957177698,5.141100084
36,0.2995508367,5.246558423
36.5,0.303322894,5.354115896
37,0.3070289715,5.463778703
37.5,0.3106642774,5.57555934
38,0.314223778,5.689487456
38.5,0.3177029589,5.805557088
39,0.3210975225,5.923797686
39.5,0.3244043673,6.044219408
40,0.3276203911,6.166817025
40.5,0.3307429963,6.291598027
41,0.3337701405,6.418577636
41.5,0.3367001724,6.547762119
42,0.3395328924,6.679138762
42.5,0.3422684072,6.812720985
43,0.3449074722,6.94852611
43.5,0.3474515842,7.086564751
44,0.3499030176,7.226827407
44.5,0.352264812,7.369307259
45,0.3545407714,7.514010439
45.5,0.3567354186,7.660957032
46,0.3588539652,7.810138006
46.5,0.3609023042,7.961538313
47,0.3628870107,8.115183278
47.5,0.364815303,8.271059326
48,0.3666949983,8.429149382
48.5,0.3685344479,8.589461783
49,0.3703424817,8.752006971
49.5,0.3721283444,8.916772539
50,0.3739016446,9.083741727
50.5,0.3756723325,9.252940709
51,0.3774505236,9.424340262
51.5,0.379246396,9.597925871
52,0.3810701311,9.773708875
52.5,0.3829318499,9.951689135
53,0.3848415985,10.13183546
53.5,0.3868092798,10.31416622
54,0.3888445428,10.49867039
54.5,0.3909567806,10.68531969
55,0.3931548772,10.8741061
55.5,0.3954471902,11.06504296
56,0.3978417478,11.25810843
56.5,0.4003457745,11.45329102
57,0.4029659356,11.65056367
57.5,0.4057082285,11.84993956
58,0.4085779027,12.05140358
58.5,0.4115794996,12.2549454
59,0.4147169022,12.46053825
59.5,0.417993433,12.66816537
60,0.4214116897,12.87782004
60.5,0.4249738215,13.08951492
61,0.4286815027,13.30322013
61.5,0.4325358661,13.51891703
62,0.436537523,13.7365923
62.5,0.4406867086,13.95623595
63,0.4449837207,14.17784086
63.5,0.4494279054,14.40137449
64,0.4540182183,14.62682593
64.5,0.4587538087,14.85420602
65,0.463634072,15.08349344
65.5,0.4686585546,15.31465
66,0.4738255987,15.54768351
66.5,0.4791341391,15.78259562
67,0.4845832364,16.01937149
67.5,0.4901720906,16.25797977
68,0.4958999863,16.49841078
68.5,0.5017661683,16.74067579
69,0.5077699531,16.98476606
69.5,0.513910739,17.23067257
70,0.5201879992,17.47837979
70.5,0.5266012837,17.72787962
71,0.5331502064,17.97916712
71.5,0.5398344272,18.23224315
72,0.5466536368,18.48708949
72.5,0.5536075362,18.74372974
73,0.560695825,19.0021463
73.5,0.567918192,19.26232415
74,0.5752742781,19.52428251
74.5,0.5827636751,19.78803365
75,0.5903859812,20.05357322
75.5,0.5981406591,20.32087573
76,0.6060270129,20.58997
76.5,0.6140441969,20.86087004
77,0.6221912263,21.13357365
77.5,0.6304670851,21.40807872
78,0.638870781,21.68438721
78.5,0.6474013342,21.96252334
79,0.6560577449,22.24250555
79.5,0.664838829,22.52434003
80,0.6737432878,22.80800401
80.5,0.6827697583,23.09353536
81,0.6919168311,23.38095012
81.5,0.7011831129,23.67026128
